"","U1","U2","V1","V2","type"
"1",4.22971278608623,3.41898971648481,-5.99133764409242,-16.338209899378,"class 1"
"2",4.14786232796708,4.91784770048559,-5.67809783830045,-14.3021279067631,"class 1"
"3",3.95488236871986,4.66880953368729,-6.68057569137694,-15.7764900648039,"class 1"
"4",3.48596856885302,3.18300912460278,-7.11491328429498,-18.7089015300573,"class 1"
"5",3.66051865922999,3.94513261387619,-6.97565463113317,-17.0219740379323,"class 1"
"6",2.55602931986094,2.91108819922933,-9.34686712634361,-19.0317154866176,"class 1"
"7",4.20508413074027,2.96695917150235,-6.17427396764531,-19.2727601647138,"class 2"
"8",3.63016385376007,2.80125404972155,-7.31092973192193,-20.2694045758735,"class 2"
"9",4.74922685210596,3.12206476884424,-5.53781997145497,-19.4461420584123,"class 2"
"10",2.69433441335096,2.22202733101121,-9.16577686958884,-20.5657375531035,"class 2"
"11",4.18527513069477,3.17087528159278,-6.37866756800431,-18.5951397568913,"class 2"
"12",3.8403915595303,3.11416986907877,-7.46115640877352,-19.1569284014434,"class 2"
